2023-04-26 00:53:33,239 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/annualreport/../../grad/index.php, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:33,795 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/annualreport/../../ugrad/index.php, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:34,377 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/annualreport/../brenhall/index.php, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:34,929 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/annualreport/../about_meet_the_dean.php, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:35,481 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/annualreport/../about_deanmsg.php, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:36,035 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/annualreport/../bren/index.php, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:36,587 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/annualreport/../about_mission.php, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:37,138 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/annualreport/2005-06/index.php, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:37,678 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/community/news/articles/index.php?select_year=2006, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:38,235 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/statistics/news, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:38,840 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/informatics/news/news_2006.php, status <404>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:39,353 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/computerscience/news/news_2006.php, status <404>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:39,865 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/annualreport/2006-07/index.php, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:40,389 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/annualreport/about/search/search_graduate_all.php, status <404>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:40,902 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/annualreport/about/search/index.php, status <404>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:41,414 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/annualreport/ugrad/sao/SAO_Events.php, status <404>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:41,926 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/annualreport/ugrad/degrees/index.php, status <404>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:42,437 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/annualreport/grad/admissions/Prospective_ApplicationProcess.php, status <404>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:42,949 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/annualreport/about/about_contact.php, status <404>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:43,475 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/annualreport/about/visit/index.php, status <404>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:43,987 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/annualreport/about/brenhall/index.php, status <404>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:44,499 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/annualreport/about/about_factsfigures.php, status <404>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:45,011 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/annualreport/about/about_deanmsg.php, status <404>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:45,523 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/social, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:46,071 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:47,278 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/../../about/annualreport/index.php, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:47,842 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/index.php, status <200>, using cache ('styx.ics.uci.edu', 9004).
